7237:  51.133544:-114.202971:199,813,812
9193:  50.933819:-114.064973:81,712,760,713
9192:  50.921469:-114.095522:12,857,766,764
7232:  51.122525:-114.195419:43,815
9194:  50.931581:-114.063264:81,712,760,713
7942:  51.037893:-114.100370:698
9196:  50.955020:-114.084700:3
9199:  50.898522:-114.068162:52,78,764,178,444
9198:  51.133912:-114.209325:299,815
7948:  51.020160:-114.147640:13
7949:  50.953470:-114.010274:96,711
7238:  50.921462:-114.081562:12,857,766,764
7239:  51.135348:-114.200532:199,812
6239:  50.930194:-114.037944:28,44,760,713
6238:  50.912183:-114.074189:15
6235:  51.056696:-113.953514:51
6234:  51.055814:-113.942482:51
6237:  51.056226:-113.970373:51
6236:  51.056850:-113.958057:51
6231:  51.042940:-113.981471:73,50,57
6230:  51.041077:-113.979337:50
6233:  51.040881:-113.978023:51
6232:  51.044790:-113.981721:51,66
9779:  50.892269:-113.978599:406,860
9778:  50.891212:-113.977046:406,860
9775:  50.883331:-113.974571:406,860
9774:  50.882105:-113.978618:406,860
9777:  51.057559:-114.101691:792,791
9776:  50.887671:-113.974730:406,860
9771:  50.887033:-113.974757:406,860,133,710
9770:  51.057644:-114.101974:792,791
9773:  50.879203:-113.975293:406,14,860
9772:  50.878926:-113.975354:406,14,860,468
8866:  51.041022:-113.954729:1,50
8867:  51.037608:-114.024675:1,411
8864:  51.045273:-113.946673:1,50
8865:  51.044776:-113.951044:1,50
8862:  51.100089:-113.969104:95
8863:  51.045720:-113.943119:1,50
8860:  51.090632:-114.258393:408,70,696
8868:  51.117793:-113.967788:60,756
8869:  51.120180:-113.968632:60,756
5267:  50.984669:-114.041159:72
5266:  51.122799:-114.070861:4
5265:  51.122223:-114.066633:5
5264:  50.986313:-114.030081:72
5263:  51.111863:-114.056686:5
5262:  51.106143:-114.056736:5
5261:  51.103722:-114.054889:5
5260:  51.096624:-114.053755:5
5269:  51.120694:-114.054138:4,20
5268:  51.121655:-114.065868:4,20
7936:  51.037911:-114.084818:2,7,698
8738:  51.072808:-114.062436:3
8739:  51.075515:-114.062422:3
8736:  51.026017:-114.078947:3
8737:  51.024562:-114.078682:3
8734:  51.028818:-114.075504:3
8735:  51.027800:-114.077594:3
8732:  51.025082:-114.078606:3
8733:  51.026716:-114.078489:3
8730:  51.009199:-114.081558:3
8731:  51.023652:-114.077883:3
4199:  51.167341:-114.073083:421
4196:  50.916917:-114.024501:83,712
4197:  50.927862:-114.034306:83,712
4194:  51.037308:-114.179314:795
4195:  50.921644:-114.026078:83,712
4192:  50.968055:-114.110422:84
4190:  50.969544:-114.120814:84
4191:  50.969381:-114.113502:84
5670:  51.042449:-114.103781:412
5673:  51.063257:-114.061799:17,745
5674:  51.063249:-114.055376:17,745
5675:  51.063209:-114.042046:17
5676:  51.062297:-114.034139:17
5677:  51.058835:-114.036273:17,19,745
5678:  51.058022:-114.033314:17,19
5679:  51.060109:-114.048239:17
6437:  50.962743:-114.128827:80
6436:  50.964964:-114.132450:84,80
6435:  50.967303:-114.139414:80
6434:  50.975238:-114.133997:80
6433:  50.972314:-114.119332:80
6432:  50.972316:-114.112508:80
6431:  50.972406:-114.097287:80
6430:  50.972150:-114.098585:79,780
8198:  50.991308:-114.015382:36,41,851,735,75,770
8199:  50.988843:-114.015383:851,770
6439:  50.954713:-114.102734:80
6438:  50.954046:-114.116447:80
6759:  51.087024:-114.130659:8,10
6752:  51.086952:-114.132834:9,408
6753:  51.103441:-114.085653:4
6750:  51.086768:-114.132688:9,122,834
6751:  51.086682:-114.132479:20
6756:  51.082186:-114.129230:72,73,20
6757:  51.045975:-114.071327:7
6754:  51.071098:-114.164324:408
